imageone,imagetwo,imagethree,imagefour,imagefive,imagesix,imageseven,imageeight,imagenine,imageten,imageeleven,imagetwelve,imagethirteen,imagefourteen,imagefifteen,imagesixteen,frequency,choice_image,choice_type,correct_answer,stimulus_type,condition_code,block_one.thisRepN,block_one.thisTrialN,block_one.thisN,block_one.thisIndex,fone_control_b1.thisRepN,fone_control_b1.thisTrialN,fone_control_b1.thisN,fone_control_b1.thisIndex,ftwo_control_b1.thisRepN,ftwo_control_b1.thisTrialN,ftwo_control_b1.thisN,ftwo_control_b1.thisIndex,fthree_control_b1.thisRepN,fthree_control_b1.thisTrialN,fthree_control_b1.thisN,fthree_control_b1.thisIndex,block_two.thisRepN,block_two.thisTrialN,block_two.thisN,block_two.thisIndex,fone_control_b2.thisRepN,fone_control_b2.thisTrialN,fone_control_b2.thisN,fone_control_b2.thisIndex,text.started,text.stopped,Crossm.started,Crossm.stopped,Presentation_image_f1_1.started,Presentation_image_f1_1.stopped,Presentation_image_f1_2.started,Presentation_image_f1_2.stopped,Presentation_image_f1_3.started,Presentation_image_f1_3.stopped,Presentation_image_f1_4.started,Presentation_image_f1_4.stopped,Fixation_cross.started,Fixation_cross.stopped,displayed_choice_image.started,displayed_choice_image.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,Presentation_image_f2_1.started,Presentation_image_f2_1.stopped,Presentation_image_f2_2.started,Presentation_image_f2_2.stopped,Presentation_image_f2_3.started,Presentation_image_f2_3.stopped,Presentation_image_f2_4.started,Presentation_image_f2_4.stopped,Presentation_image_f2_5.started,Presentation_image_f2_5.stopped,Presentation_image_f2_6.started,Presentation_image_f2_6.stopped,Presentation_image_f2_7.started,Presentation_image_f2_7.stopped,Presentation_image_f2_8.started,Presentation_image_f2_8.stopped,Presentation_image_f3_1.started,Presentation_image_f3_1.stopped,Presentation_image_f3_2.started,Presentation_image_f3_2.stopped,Presentation_image_f3_3.started,Presentation_image_f3_3.stopped,Presentation_image_f3_4.started,Presentation_image_f3_4.stopped,Presentation_image_f3_5.started,Presentation_image_f3_5.stopped,Presentation_image_f3_6.started,Presentation_image_f3_6.stopped,Presentation_image_f3_7.started,Presentation_image_f3_7.stopped,Presentation_image_f3_8.started,Presentation_image_f3_8.stopped,Presentation_image_f3_9.started,Presentation_image_f3_9.stopped,Presentation_image_f3_10.started,Presentation_image_f3_10.stopped,Presentation_image_f3_11.started,Presentation_image_f3_11.stopped,Presentation_image_f3_12.started,Presentation_image_f3_12.stopped,perf_review_accuracyval.started,perf_review_accuracyval.stopped,perf_key_resp_3.keys,perf_key_resp_3.rt,perf_key_resp_3.started,perf_key_resp_3.stopped,text_3.started,text_3.stopped,text_break.started,text_break.stopped,participant,session,date,expName,psychopyVersion,frameRate,
LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_47.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_141.jpg,0,l,1,11,0,5,5,5,0,0,0,0,,,,,,,,,,,,,,,,,,,42.68051480001304,None,43.698082899994915,44.69889339999645,44.68215770000825,45.68295560000115,45.68295560000115,46.68380200001411,46.68380200001411,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_235.jpg,LZ_natural\LZ_natural_15.jpg,LZ_natural\LZ_natural_38.jpg,LZ_natural\LZ_natural_47.jpg,None,None,None,None,None,None,None,None,None,None,None,None,1,LZ_natural\LZ_natural_141.jpg,0,l,1,11,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.701295300008496,48.70211230000132,48.685461999994004,None,l,1,1.147293499991065,1.0090784799831454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_156.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_193.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_217.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_18.jpg,1,a,1,12,0,6,6,6,,,,,0,0,0,0,,,,,,,,,,,,,,,49.853090499993414,None,,,,,,,,,,,,,,,,,,50.98737990000518,51.437701999995625,51.47106919999351,51.92142779999995,51.971508499991614,52.421839899994666,52.47188180001103,52.922284400003264,52.97229189999052,53.422669199993834,53.472704899992095,53.923067900002934,53.97311069999705,54.42348060000222,54.473524600005476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_52.jpg,LZ_natural\LZ_natural_156.jpg,LZ_natural\LZ_natural_50.jpg,LZ_natural\LZ_natural_183.jpg,LZ_natural\LZ_natural_193.jpg,LZ_natural\LZ_natural_18.jpg,LZ_natural\LZ_natural_148.jpg,LZ_natural\LZ_natural_217.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_18.jpg,1,a,1,12,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.85719670000253,55.85799630000838,55.84134970000014,None,l,0,1.4555050999915693,1.0109151799988467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_204.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_136.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_94.jpg,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_134.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_204.jpg,1,a,1,12,0,7,7,7,,,,,0,0,0,0,,,,,,,,,,,,,,,57.32591830001911,None,,,,,,,,,,,,,,,,,,58.36007080000127,58.81039880000753,58.84375390000059,59.29410200001439,59.34415730001638,59.79455570000573,59.84462170000188,60.29496110000764,60.34499040001538,60.7953761999961,60.845409300003666,61.29581350000808,61.34582740001497,61.79619749999256,61.846219300001394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_204.jpg,LZ_natural\LZ_natural_74.jpg,LZ_natural\LZ_natural_98.jpg,LZ_natural\LZ_natural_136.jpg,LZ_natural\LZ_natural_229.jpg,LZ_natural\LZ_natural_94.jpg,LZ_natural\LZ_natural_19.jpg,LZ_natural\LZ_natural_134.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_204.jpg,1,a,1,12,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33001659999718,63.33078809999279,63.31414170001517,None,l,0,1.278789699979825,1.0115220799634699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_26.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_11.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_140.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_60.jpg,0,l,1,12,0,8,8,8,,,,,0,0,0,0,,,,,,,,,,,,,,,64.61517259999528,None,,,,,,,,,,,,,,,,,,65.64961379999295,66.09970849999809,66.13310360000469,66.5834426000074,66.63349999999627,67.08388799999375,67.1339496000146,67.58428100001765,67.63429089999408,68.08470189999207,68.13475460000336,68.58510590001242,68.63514920001035,69.08550549999927,69.1355673999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_55.jpg,LZ_natural\LZ_natural_116.jpg,LZ_natural\LZ_natural_26.jpg,LZ_natural\LZ_natural_77.jpg,LZ_natural\LZ_natural_11.jpg,LZ_natural\LZ_natural_14.jpg,LZ_natural\LZ_natural_207.jpg,LZ_natural\LZ_natural_140.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_60.jpg,0,l,1,12,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.60265720001189,70.60342279999168,70.58677049999824,None,l,1,2.8087381000223104,1.0121537800005171,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_234.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_62.jpg,1,a,1,12,0,9,9,9,,,,,0,0,0,0,,,,,,,,,,,,,,,73.42243219999364,None,,,,,,,,,,,,,,,,,,74.43989949999377,74.89029909999226,74.92360390000977,75.37404749999405,75.42406170000322,75.87443709999206,75.92445650001173,76.37478820001706,76.42488330000197,76.87524739999208,76.92530140001327,77.37569459999213,77.42572669999208,77.87607640001806,77.92608689999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_62.jpg,LZ_natural\LZ_natural_58.jpg,LZ_natural\LZ_natural_175.jpg,LZ_natural\LZ_natural_208.jpg,LZ_natural\LZ_natural_233.jpg,LZ_natural\LZ_natural_218.jpg,LZ_natural\LZ_natural_127.jpg,LZ_natural\LZ_natural_234.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_62.jpg,1,a,1,12,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4098393000022,79.41065639999579,79.39402690000134,None,l,0,2.4317265000136103,1.010089479997987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_237.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_44.jpg,LZ_natural\LZ_natural_88.jpg,LZ_natural\LZ_natural_13.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_180.jpg,LZ_natural\LZ_natural_109.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_90.jpg,0,l,1,12,0,10,10,10,,,,,0,0,0,0,,,,,,,,,,,,,,,81.84602319999249,None,,,,,,,,,,,,,,,,,,82.86352879999322,83.3138472000137,83.34721920001903,83.79755980000482,83.84759330001543,84.29797630000394,84.34802050000872,84.79838510000263,84.84843340000953,85.29880039999261,85.34884580000653,85.7991844000062,85.849280800001,86.29963530000532,86.34962480000104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_237.jpg,LZ_natural\LZ_natural_227.jpg,LZ_natural\LZ_natural_44.jpg,LZ_natural\LZ_natural_88.jpg,LZ_natural\LZ_natural_13.jpg,LZ_natural\LZ_natural_186.jpg,LZ_natural\LZ_natural_180.jpg,LZ_natural\LZ_natural_109.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_90.jpg,0,l,1,12,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.83340970001882,87.83423569999286,87.81753770000068,91.82081540001673,l,1,6.250156299996888,1.007578980003018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_92.jpg,LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_236.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_223.jpg,LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_42.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_236.jpg,1,a,1,12,0,11,11,11,,,,,0,0,0,0,,,,,,,,,,,,,,,94.08934170001885,None,,,,,,,,,,,,,,,,,,95.10696790000657,95.55726530001266,95.59058779999032,96.04097200001706,96.09103800001321,96.54137670001364,96.59140770000522,97.04182800001581,97.09180500000366,97.54224780001095,97.59221229999093,98.04256220001844,98.09266329999082,98.54299119999632,98.5930454999907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_3.jpg,LZ_natural\LZ_natural_92.jpg,LZ_natural\LZ_natural_40.jpg,LZ_natural\LZ_natural_236.jpg,LZ_natural\LZ_natural_23.jpg,LZ_natural\LZ_natural_223.jpg,LZ_natural\LZ_natural_232.jpg,LZ_natural\LZ_natural_42.jpg,None,None,None,None,None,None,None,None,2,LZ_natural\LZ_natural_236.jpg,1,a,1,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0767623000138,100.07765419999487,100.06091240001842,None,l,0,1.703847600001609,1.0064791799813975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_24.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_196.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_65.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_124.jpg,None,None,None,None,3,LZ_natural\LZ_natural_105.jpg,0,l,1,13,0,12,12,12,,,,,,,,,0,0,0,0,,,,,,,,,,,101.79563670000061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.93025730000227,103.23018220000085,103.263540200016,103.56377229999634,103.6138326000073,103.91405019999365,103.91405019999365,104.21433650000836,104.26437479999731,104.56463020000956,104.61465800000587,104.9148836999957,104.9148836999957,105.21514889999526,105.26516400001128,105.5654324000061,105.61549699999159,105.91570030001458,105.91570030001458,106.2159392000176,106.26598900000681,106.56624559999909,106.61628000001656,None,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_165.jpg,LZ_natural\LZ_natural_24.jpg,LZ_natural\LZ_natural_79.jpg,LZ_natural\LZ_natural_147.jpg,LZ_natural\LZ_natural_100.jpg,LZ_natural\LZ_natural_205.jpg,LZ_natural\LZ_natural_196.jpg,LZ_natural\LZ_natural_143.jpg,LZ_natural\LZ_natural_177.jpg,LZ_natural\LZ_natural_65.jpg,LZ_natural\LZ_natural_190.jpg,LZ_natural\LZ_natural_124.jpg,None,None,None,None,3,LZ_natural\LZ_natural_105.jpg,0,l,1,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.86707569999271,107.86737799999537,107.85066620001453,None,l,1,0.48237719997996464,1.0118423200037796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_21.jpg,LZ_natural\LZ_natural_225.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_145.jpg,LZ_natural\LZ_natural_48.jpg,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_221.jpg,LZ_natural\LZ_natural_215.jpg,None,None,None,None,3,LZ_natural\LZ_natural_48.jpg,1,a,1,13,0,13,13,13,,,,,,,,,0,0,0,0,,,,,,,,,,,108.35109090001788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.38521800001035,109.6854690000182,109.71886839999934,110.01909149999847,110.07130569999572,110.38605010000174,110.36940809999942,110.67090729999472,110.7196597000002,111.01989369999501,111.06996500000241,111.37017909999122,111.37017909999122,111.67042529999162,111.7204721000162,112.02070940000704,112.07079739999608,112.37100430001738,112.37100430001738,112.67125650000526,112.72129350001342,113.02152139999089,113.071560100012,None,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
LZ_natural\LZ_natural_21.jpg,LZ_natural\LZ_natural_225.jpg,LZ_natural\LZ_natural_199.jpg,LZ_natural\LZ_natural_145.jpg,LZ_natural\LZ_natural_48.jpg,LZ_natural\LZ_natural_68.jpg,LZ_natural\LZ_natural_182.jpg,LZ_natural\LZ_natural_76.jpg,LZ_natural\LZ_natural_16.jpg,LZ_natural\LZ_natural_34.jpg,LZ_natural\LZ_natural_221.jpg,LZ_natural\LZ_natural_215.jpg,None,None,None,None,3,LZ_natural\LZ_natural_48.jpg,1,a,1,13,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.40521940001054,114.40601659999811,114.38932600000408,None,l,0,0.182426299987128,1.0119233200093731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Dec_16_1605,new_STLI_practise,2020.2.10,59.96156464455615,
