imageTL,imageBL,imageTR,imageBR,correct_answer
C:\LZ\noise\noise_189.jpg, C:\LZ\noise\noise_46.jpg, C:\LZ\noise\noise_227.jpg, C:\LZ\noise\noise_102.jpg,     z
C:\LZ\noise\noise_61.jpg, C:\LZ\noise\noise_1.jpg, C:\LZ\noise\noise_178.jpg, C:\LZ\noise\noise_21.jpg,     a
C:\LZ\final_scrambled\scrambled_219.jpg, C:\LZ\final_scrambled\scrambled_161.jpg, C:\LZ\final_scrambled\scrambled_63.jpg, C:\LZ\final_scrambled\scrambled_224.jpg,     m
C:\LZ\final_scrambled\scrambled_31.jpg, C:\LZ\final_scrambled\scrambled_22.jpg, C:\LZ\final_scrambled\scrambled_103.jpg, C:\LZ\final_scrambled\scrambled_148.jpg,     m
C:\LZ\noise\noise_211.jpg, C:\LZ\noise\noise_240.jpg, C:\LZ\noise\noise_173.jpg, C:\LZ\noise\noise_176.jpg,     m
C:\LZ\natural\natural_184.jpg, C:\LZ\natural\natural_27.jpg, C:\LZ\natural\natural_199.jpg, C:\LZ\natural\natural_59.jpg,     a
C:\LZ\noise\noise_238.jpg, C:\LZ\noise\noise_117.jpg, C:\LZ\noise\noise_11.jpg, C:\LZ\noise\noise_209.jpg,     m
C:\LZ\noise\noise_163.jpg, C:\LZ\noise\noise_177.jpg, C:\LZ\noise\noise_95.jpg, C:\LZ\noise\noise_4.jpg,     a
C:\LZ\noise\noise_98.jpg, C:\LZ\noise\noise_93.jpg, C:\LZ\noise\noise_51.jpg, C:\LZ\noise\noise_220.jpg,     m
C:\LZ\final_scrambled\scrambled_11.jpg, C:\LZ\final_scrambled\scrambled_23.jpg, C:\LZ\final_scrambled\scrambled_184.jpg, C:\LZ\final_scrambled\scrambled_140.jpg,     a
C:\LZ\final_scrambled\scrambled_185.jpg, C:\LZ\final_scrambled\scrambled_163.jpg, C:\LZ\final_scrambled\scrambled_204.jpg, C:\LZ\final_scrambled\scrambled_95.jpg,     k
C:\LZ\natural\natural_66.jpg, C:\LZ\natural\natural_3.jpg, C:\LZ\natural\natural_165.jpg, C:\LZ\natural\natural_233.jpg,     k
C:\LZ\natural\natural_207.jpg, C:\LZ\natural\natural_185.jpg, C:\LZ\natural\natural_140.jpg, C:\LZ\natural\natural_220.jpg,     m
C:\LZ\noise\noise_42.jpg, C:\LZ\noise\noise_15.jpg, C:\LZ\noise\noise_111.jpg, C:\LZ\noise\noise_219.jpg,     a
C:\LZ\final_scrambled\scrambled_93.jpg, C:\LZ\final_scrambled\scrambled_232.jpg, C:\LZ\final_scrambled\scrambled_179.jpg, C:\LZ\final_scrambled\scrambled_233.jpg,     z
C:\LZ\noise\noise_53.jpg, C:\LZ\noise\noise_108.jpg, C:\LZ\noise\noise_117.jpg, C:\LZ\noise\noise_177.jpg,     m
C:\LZ\noise\noise_152.jpg, C:\LZ\noise\noise_191.jpg, C:\LZ\noise\noise_54.jpg, C:\LZ\noise\noise_51.jpg,     m
C:\LZ\noise\noise_171.jpg, C:\LZ\noise\noise_123.jpg, C:\LZ\noise\noise_239.jpg, C:\LZ\noise\noise_113.jpg,     z
C:\LZ\noise\noise_217.jpg, C:\LZ\noise\noise_216.jpg, C:\LZ\noise\noise_82.jpg, C:\LZ\noise\noise_214.jpg,     a
C:\LZ\natural\natural_97.jpg, C:\LZ\natural\natural_81.jpg, C:\LZ\natural\natural_8.jpg, C:\LZ\natural\natural_109.jpg,     z
C:\LZ\final_scrambled\scrambled_123.jpg, C:\LZ\final_scrambled\scrambled_169.jpg, C:\LZ\final_scrambled\scrambled_120.jpg, C:\LZ\final_scrambled\scrambled_99.jpg,     a
C:\LZ\noise\noise_130.jpg, C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_68.jpg,     k
C:\LZ\final_scrambled\scrambled_194.jpg, C:\LZ\final_scrambled\scrambled_16.jpg, C:\LZ\final_scrambled\scrambled_56.jpg, C:\LZ\final_scrambled\scrambled_209.jpg,     z
C:\LZ\noise\noise_27.jpg, C:\LZ\noise\noise_223.jpg, C:\LZ\noise\noise_55.jpg, C:\LZ\noise\noise_6.jpg,     k
C:\LZ\final_scrambled\scrambled_133.jpg, C:\LZ\final_scrambled\scrambled_75.jpg, C:\LZ\final_scrambled\scrambled_55.jpg, C:\LZ\final_scrambled\scrambled_75.jpg,     k
C:\LZ\noise\noise_120.jpg, C:\LZ\noise\noise_140.jpg, C:\LZ\noise\noise_171.jpg, C:\LZ\noise\noise_18.jpg,     m
C:\LZ\final_scrambled\scrambled_34.jpg, C:\LZ\final_scrambled\scrambled_41.jpg, C:\LZ\final_scrambled\scrambled_57.jpg, C:\LZ\final_scrambled\scrambled_37.jpg,     k
C:\LZ\noise\noise_65.jpg, C:\LZ\noise\noise_230.jpg, C:\LZ\noise\noise_153.jpg, C:\LZ\noise\noise_31.jpg,     m
C:\LZ\final_scrambled\scrambled_174.jpg, C:\LZ\final_scrambled\scrambled_113.jpg, C:\LZ\final_scrambled\scrambled_30.jpg, C:\LZ\final_scrambled\scrambled_189.jpg,     m
C:\LZ\final_scrambled\scrambled_223.jpg, C:\LZ\final_scrambled\scrambled_196.jpg, C:\LZ\final_scrambled\scrambled_200.jpg, C:\LZ\final_scrambled\scrambled_158.jpg,     m
C:\LZ\final_scrambled\scrambled_111.jpg, C:\LZ\final_scrambled\scrambled_31.jpg, C:\LZ\final_scrambled\scrambled_152.jpg, C:\LZ\final_scrambled\scrambled_80.jpg,     a
C:\LZ\noise\noise_87.jpg, C:\LZ\noise\noise_41.jpg, C:\LZ\noise\noise_209.jpg, C:\LZ\noise\noise_239.jpg,     z
C:\LZ\final_scrambled\scrambled_84.jpg, C:\LZ\final_scrambled\scrambled_163.jpg, C:\LZ\final_scrambled\scrambled_114.jpg, C:\LZ\final_scrambled\scrambled_165.jpg,     k
C:\LZ\final_scrambled\scrambled_174.jpg, C:\LZ\final_scrambled\scrambled_56.jpg, C:\LZ\final_scrambled\scrambled_117.jpg, C:\LZ\final_scrambled\scrambled_228.jpg,     z
C:\LZ\noise\noise_175.jpg, C:\LZ\noise\noise_221.jpg, C:\LZ\noise\noise_222.jpg, C:\LZ\noise\noise_90.jpg,     k
C:\LZ\noise\noise_143.jpg, C:\LZ\noise\noise_206.jpg, C:\LZ\noise\noise_150.jpg, C:\LZ\noise\noise_226.jpg,     a
C:\LZ\noise\noise_211.jpg, C:\LZ\noise\noise_126.jpg, C:\LZ\noise\noise_198.jpg, C:\LZ\noise\noise_92.jpg,     k
C:\LZ\final_scrambled\scrambled_71.jpg, C:\LZ\final_scrambled\scrambled_8.jpg, C:\LZ\final_scrambled\scrambled_114.jpg, C:\LZ\final_scrambled\scrambled_217.jpg,     a
C:\LZ\noise\noise_11.jpg, C:\LZ\noise\noise_18.jpg, C:\LZ\noise\noise_66.jpg, C:\LZ\noise\noise_37.jpg,     a
C:\LZ\final_scrambled\scrambled_168.jpg, C:\LZ\final_scrambled\scrambled_159.jpg, C:\LZ\final_scrambled\scrambled_145.jpg, C:\LZ\final_scrambled\scrambled_2.jpg,     m
C:\LZ\natural\natural_18.jpg, C:\LZ\natural\natural_62.jpg, C:\LZ\natural\natural_194.jpg, C:\LZ\natural\natural_169.jpg,     z
C:\LZ\natural\natural_211.jpg, C:\LZ\natural\natural_91.jpg, C:\LZ\natural\natural_43.jpg, C:\LZ\natural\natural_117.jpg,     m
C:\LZ\natural\natural_23.jpg, C:\LZ\natural\natural_232.jpg, C:\LZ\natural\natural_207.jpg, C:\LZ\natural\natural_141.jpg,     m
C:\LZ\natural\natural_171.jpg, C:\LZ\natural\natural_1.jpg, C:\LZ\natural\natural_147.jpg, C:\LZ\natural\natural_148.jpg,     k
C:\LZ\final_scrambled\scrambled_152.jpg, C:\LZ\final_scrambled\scrambled_219.jpg, C:\LZ\final_scrambled\scrambled_42.jpg, C:\LZ\final_scrambled\scrambled_167.jpg,     a
C:\LZ\natural\natural_228.jpg, C:\LZ\natural\natural_4.jpg, C:\LZ\natural\natural_174.jpg, C:\LZ\natural\natural_201.jpg,     z
C:\LZ\final_scrambled\scrambled_126.jpg, C:\LZ\final_scrambled\scrambled_10.jpg, C:\LZ\final_scrambled\scrambled_121.jpg, C:\LZ\final_scrambled\scrambled_181.jpg,     z
C:\LZ\natural\natural_202.jpg, C:\LZ\natural\natural_171.jpg, C:\LZ\natural\natural_21.jpg, C:\LZ\natural\natural_233.jpg,     a
C:\LZ\final_scrambled\scrambled_21.jpg, C:\LZ\final_scrambled\scrambled_165.jpg, C:\LZ\final_scrambled\scrambled_236.jpg, C:\LZ\final_scrambled\scrambled_162.jpg,     a
C:\LZ\natural\natural_226.jpg, C:\LZ\natural\natural_39.jpg, C:\LZ\natural\natural_168.jpg, C:\LZ\natural\natural_104.jpg,     m
C:\LZ\noise\noise_165.jpg, C:\LZ\noise\noise_166.jpg, C:\LZ\noise\noise_107.jpg, C:\LZ\noise\noise_159.jpg,     m
C:\LZ\final_scrambled\scrambled_127.jpg, C:\LZ\final_scrambled\scrambled_72.jpg, C:\LZ\final_scrambled\scrambled_169.jpg, C:\LZ\final_scrambled\scrambled_82.jpg,     k
C:\LZ\noise\noise_79.jpg, C:\LZ\noise\noise_156.jpg, C:\LZ\noise\noise_148.jpg, C:\LZ\noise\noise_142.jpg,     m
C:\LZ\final_scrambled\scrambled_74.jpg, C:\LZ\final_scrambled\scrambled_227.jpg, C:\LZ\final_scrambled\scrambled_221.jpg, C:\LZ\final_scrambled\scrambled_230.jpg,     m
C:\LZ\natural\natural_29.jpg, C:\LZ\natural\natural_122.jpg, C:\LZ\natural\natural_30.jpg, C:\LZ\natural\natural_138.jpg,     z
C:\LZ\noise\noise_203.jpg, C:\LZ\noise\noise_217.jpg, C:\LZ\noise\noise_39.jpg, C:\LZ\noise\noise_2.jpg,     a
C:\LZ\natural\natural_48.jpg, C:\LZ\natural\natural_144.jpg, C:\LZ\natural\natural_168.jpg, C:\LZ\natural\natural_201.jpg,     z
C:\LZ\final_scrambled\scrambled_240.jpg, C:\LZ\final_scrambled\scrambled_163.jpg, C:\LZ\final_scrambled\scrambled_117.jpg, C:\LZ\final_scrambled\scrambled_28.jpg,     z
C:\LZ\natural\natural_27.jpg, C:\LZ\natural\natural_107.jpg, C:\LZ\natural\natural_115.jpg, C:\LZ\natural\natural_140.jpg,     m
C:\LZ\natural\natural_38.jpg, C:\LZ\natural\natural_239.jpg, C:\LZ\natural\natural_150.jpg, C:\LZ\natural\natural_59.jpg,     k
C:\LZ\natural\natural_98.jpg, C:\LZ\natural\natural_5.jpg, C:\LZ\natural\natural_66.jpg, C:\LZ\natural\natural_91.jpg,     a
C:\LZ\noise\noise_150.jpg, C:\LZ\noise\noise_65.jpg, C:\LZ\noise\noise_117.jpg, C:\LZ\noise\noise_94.jpg,     m
C:\LZ\final_scrambled\scrambled_35.jpg, C:\LZ\final_scrambled\scrambled_125.jpg, C:\LZ\final_scrambled\scrambled_101.jpg, C:\LZ\final_scrambled\scrambled_96.jpg,     k
C:\LZ\natural\natural_69.jpg, C:\LZ\natural\natural_109.jpg, C:\LZ\natural\natural_210.jpg, C:\LZ\natural\natural_133.jpg,     m
C:\LZ\natural\natural_53.jpg, C:\LZ\natural\natural_91.jpg, C:\LZ\natural\natural_193.jpg, C:\LZ\natural\natural_128.jpg,     m
C:\LZ\noise\noise_196.jpg, C:\LZ\noise\noise_86.jpg, C:\LZ\noise\noise_139.jpg, C:\LZ\noise\noise_197.jpg,     a
C:\LZ\noise\noise_77.jpg, C:\LZ\noise\noise_190.jpg, C:\LZ\noise\noise_96.jpg, C:\LZ\noise\noise_96.jpg,     z
C:\LZ\noise\noise_10.jpg, C:\LZ\noise\noise_233.jpg, C:\LZ\noise\noise_223.jpg, C:\LZ\noise\noise_26.jpg,     a
C:\LZ\natural\natural_122.jpg, C:\LZ\natural\natural_170.jpg, C:\LZ\natural\natural_205.jpg, C:\LZ\natural\natural_38.jpg,     z
C:\LZ\final_scrambled\scrambled_64.jpg, C:\LZ\final_scrambled\scrambled_71.jpg, C:\LZ\final_scrambled\scrambled_195.jpg, C:\LZ\final_scrambled\scrambled_22.jpg,     m
C:\LZ\natural\natural_132.jpg, C:\LZ\natural\natural_211.jpg, C:\LZ\natural\natural_97.jpg, C:\LZ\natural\natural_59.jpg,     z
C:\LZ\noise\noise_157.jpg, C:\LZ\noise\noise_44.jpg, C:\LZ\noise\noise_142.jpg, C:\LZ\noise\noise_194.jpg,     m
C:\LZ\noise\noise_187.jpg, C:\LZ\noise\noise_40.jpg, C:\LZ\noise\noise_216.jpg, C:\LZ\noise\noise_39.jpg,     a
C:\LZ\noise\noise_150.jpg, C:\LZ\noise\noise_12.jpg, C:\LZ\noise\noise_88.jpg, C:\LZ\noise\noise_4.jpg,     z
C:\LZ\noise\noise_168.jpg, C:\LZ\noise\noise_183.jpg, C:\LZ\noise\noise_3.jpg, C:\LZ\noise\noise_128.jpg,     a
C:\LZ\final_scrambled\scrambled_59.jpg, C:\LZ\final_scrambled\scrambled_26.jpg, C:\LZ\final_scrambled\scrambled_47.jpg, C:\LZ\final_scrambled\scrambled_57.jpg,     k
C:\LZ\final_scrambled\scrambled_52.jpg, C:\LZ\final_scrambled\scrambled_62.jpg, C:\LZ\final_scrambled\scrambled_30.jpg, C:\LZ\final_scrambled\scrambled_112.jpg,     k
C:\LZ\natural\natural_150.jpg, C:\LZ\natural\natural_167.jpg, C:\LZ\natural\natural_166.jpg, C:\LZ\natural\natural_96.jpg,     z
C:\LZ\natural\natural_27.jpg, C:\LZ\natural\natural_192.jpg, C:\LZ\natural\natural_209.jpg, C:\LZ\natural\natural_185.jpg,     z
C:\LZ\final_scrambled\scrambled_75.jpg, C:\LZ\final_scrambled\scrambled_23.jpg, C:\LZ\final_scrambled\scrambled_143.jpg, C:\LZ\final_scrambled\scrambled_86.jpg,     z
C:\LZ\natural\natural_90.jpg, C:\LZ\natural\natural_106.jpg, C:\LZ\natural\natural_230.jpg, C:\LZ\natural\natural_50.jpg,     m
C:\LZ\final_scrambled\scrambled_199.jpg, C:\LZ\final_scrambled\scrambled_36.jpg, C:\LZ\final_scrambled\scrambled_219.jpg, C:\LZ\final_scrambled\scrambled_172.jpg,     z
C:\LZ\natural\natural_204.jpg, C:\LZ\natural\natural_60.jpg, C:\LZ\natural\natural_184.jpg, C:\LZ\natural\natural_172.jpg,     a
C:\LZ\final_scrambled\scrambled_190.jpg, C:\LZ\final_scrambled\scrambled_70.jpg, C:\LZ\final_scrambled\scrambled_144.jpg, C:\LZ\final_scrambled\scrambled_102.jpg,     m
C:\LZ\final_scrambled\scrambled_102.jpg, C:\LZ\final_scrambled\scrambled_178.jpg, C:\LZ\final_scrambled\scrambled_13.jpg, C:\LZ\final_scrambled\scrambled_24.jpg,     m
C:\LZ\natural\natural_148.jpg, C:\LZ\natural\natural_191.jpg, C:\LZ\natural\natural_86.jpg, C:\LZ\natural\natural_220.jpg,     k
C:\LZ\natural\natural_21.jpg, C:\LZ\natural\natural_5.jpg, C:\LZ\natural\natural_15.jpg, C:\LZ\natural\natural_78.jpg,     a
C:\LZ\final_scrambled\scrambled_5.jpg, C:\LZ\final_scrambled\scrambled_186.jpg, C:\LZ\final_scrambled\scrambled_29.jpg, C:\LZ\final_scrambled\scrambled_191.jpg,     k
C:\LZ\natural\natural_114.jpg, C:\LZ\natural\natural_82.jpg, C:\LZ\natural\natural_136.jpg, C:\LZ\natural\natural_163.jpg,     z
C:\LZ\noise\noise_15.jpg, C:\LZ\noise\noise_73.jpg, C:\LZ\noise\noise_209.jpg, C:\LZ\noise\noise_84.jpg,     m
C:\LZ\noise\noise_39.jpg, C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_113.jpg, C:\LZ\noise\noise_224.jpg,     m
C:\LZ\final_scrambled\scrambled_12.jpg, C:\LZ\final_scrambled\scrambled_167.jpg, C:\LZ\final_scrambled\scrambled_108.jpg, C:\LZ\final_scrambled\scrambled_34.jpg,     m
C:\LZ\natural\natural_102.jpg, C:\LZ\natural\natural_113.jpg, C:\LZ\natural\natural_189.jpg, C:\LZ\natural\natural_37.jpg,     a
C:\LZ\final_scrambled\scrambled_44.jpg, C:\LZ\final_scrambled\scrambled_141.jpg, C:\LZ\final_scrambled\scrambled_19.jpg, C:\LZ\final_scrambled\scrambled_240.jpg,     m
C:\LZ\noise\noise_149.jpg, C:\LZ\noise\noise_87.jpg, C:\LZ\noise\noise_220.jpg, C:\LZ\noise\noise_152.jpg,     m
C:\LZ\natural\natural_212.jpg, C:\LZ\natural\natural_238.jpg, C:\LZ\natural\natural_44.jpg, C:\LZ\natural\natural_4.jpg,     k
C:\LZ\natural\natural_163.jpg, C:\LZ\natural\natural_209.jpg, C:\LZ\natural\natural_36.jpg, C:\LZ\natural\natural_238.jpg,     m
C:\LZ\natural\natural_217.jpg, C:\LZ\natural\natural_37.jpg, C:\LZ\natural\natural_115.jpg, C:\LZ\natural\natural_227.jpg,     m
C:\LZ\final_scrambled\scrambled_135.jpg, C:\LZ\final_scrambled\scrambled_118.jpg, C:\LZ\final_scrambled\scrambled_210.jpg, C:\LZ\final_scrambled\scrambled_28.jpg,     m
C:\LZ\natural\natural_121.jpg, C:\LZ\natural\natural_58.jpg, C:\LZ\natural\natural_8.jpg, C:\LZ\natural\natural_187.jpg,     k
C:\LZ\natural\natural_115.jpg, C:\LZ\natural\natural_234.jpg, C:\LZ\natural\natural_171.jpg, C:\LZ\natural\natural_64.jpg,     a
C:\LZ\noise\noise_91.jpg, C:\LZ\noise\noise_128.jpg, C:\LZ\noise\noise_154.jpg, C:\LZ\noise\noise_171.jpg,     a
C:\LZ\natural\natural_200.jpg, C:\LZ\natural\natural_6.jpg, C:\LZ\natural\natural_8.jpg, C:\LZ\natural\natural_157.jpg,     m
C:\LZ\final_scrambled\scrambled_84.jpg, C:\LZ\final_scrambled\scrambled_77.jpg, C:\LZ\final_scrambled\scrambled_228.jpg, C:\LZ\final_scrambled\scrambled_20.jpg,     z
C:\LZ\final_scrambled\scrambled_13.jpg, C:\LZ\final_scrambled\scrambled_93.jpg, C:\LZ\final_scrambled\scrambled_196.jpg, C:\LZ\final_scrambled\scrambled_99.jpg,     z
C:\LZ\natural\natural_58.jpg, C:\LZ\natural\natural_51.jpg, C:\LZ\natural\natural_152.jpg, C:\LZ\natural\natural_142.jpg,     k
C:\LZ\natural\natural_69.jpg, C:\LZ\natural\natural_221.jpg, C:\LZ\natural\natural_240.jpg, C:\LZ\natural\natural_88.jpg,     k
C:\LZ\noise\noise_209.jpg, C:\LZ\noise\noise_46.jpg, C:\LZ\noise\noise_138.jpg, C:\LZ\noise\noise_174.jpg,     k
C:\LZ\natural\natural_180.jpg, C:\LZ\natural\natural_181.jpg, C:\LZ\natural\natural_185.jpg, C:\LZ\natural\natural_193.jpg,     z
C:\LZ\noise\noise_6.jpg, C:\LZ\noise\noise_59.jpg, C:\LZ\noise\noise_175.jpg, C:\LZ\noise\noise_6.jpg,     k
C:\LZ\natural\natural_68.jpg, C:\LZ\natural\natural_78.jpg, C:\LZ\natural\natural_2.jpg, C:\LZ\natural\natural_95.jpg,     k
C:\LZ\natural\natural_193.jpg, C:\LZ\natural\natural_185.jpg, C:\LZ\natural\natural_82.jpg, C:\LZ\natural\natural_35.jpg,     z
C:\LZ\final_scrambled\scrambled_187.jpg, C:\LZ\final_scrambled\scrambled_201.jpg, C:\LZ\final_scrambled\scrambled_46.jpg, C:\LZ\final_scrambled\scrambled_45.jpg,     m
C:\LZ\noise\noise_158.jpg, C:\LZ\noise\noise_137.jpg, C:\LZ\noise\noise_42.jpg, C:\LZ\noise\noise_103.jpg,     a
C:\LZ\natural\natural_46.jpg, C:\LZ\natural\natural_200.jpg, C:\LZ\natural\natural_125.jpg, C:\LZ\natural\natural_13.jpg,     k
C:\LZ\natural\natural_67.jpg, C:\LZ\natural\natural_9.jpg, C:\LZ\natural\natural_75.jpg, C:\LZ\natural\natural_217.jpg,     z
C:\LZ\final_scrambled\scrambled_82.jpg, C:\LZ\final_scrambled\scrambled_217.jpg, C:\LZ\final_scrambled\scrambled_98.jpg, C:\LZ\final_scrambled\scrambled_102.jpg,     a
C:\LZ\natural\natural_62.jpg, C:\LZ\natural\natural_171.jpg, C:\LZ\natural\natural_185.jpg, C:\LZ\natural\natural_57.jpg,     m
C:\LZ\natural\natural_125.jpg, C:\LZ\natural\natural_153.jpg, C:\LZ\natural\natural_145.jpg, C:\LZ\natural\natural_167.jpg,     k
C:\LZ\final_scrambled\scrambled_181.jpg, C:\LZ\final_scrambled\scrambled_4.jpg, C:\LZ\final_scrambled\scrambled_111.jpg, C:\LZ\final_scrambled\scrambled_172.jpg,     z
C:\LZ\noise\noise_38.jpg, C:\LZ\noise\noise_87.jpg, C:\LZ\noise\noise_129.jpg, C:\LZ\noise\noise_216.jpg,     k
C:\LZ\final_scrambled\scrambled_222.jpg, C:\LZ\final_scrambled\scrambled_100.jpg, C:\LZ\final_scrambled\scrambled_147.jpg, C:\LZ\final_scrambled\scrambled_38.jpg,     k
C:\LZ\natural\natural_192.jpg, C:\LZ\natural\natural_157.jpg, C:\LZ\natural\natural_225.jpg, C:\LZ\natural\natural_236.jpg,     k
C:\LZ\natural\natural_111.jpg, C:\LZ\natural\natural_89.jpg, C:\LZ\natural\natural_86.jpg, C:\LZ\natural\natural_42.jpg,     z
C:\LZ\final_scrambled\scrambled_89.jpg, C:\LZ\final_scrambled\scrambled_79.jpg, C:\LZ\final_scrambled\scrambled_84.jpg, C:\LZ\final_scrambled\scrambled_47.jpg,     k
C:\LZ\noise\noise_117.jpg, C:\LZ\noise\noise_90.jpg, C:\LZ\noise\noise_151.jpg, C:\LZ\noise\noise_37.jpg,     z
C:\LZ\natural\natural_106.jpg, C:\LZ\natural\natural_220.jpg, C:\LZ\natural\natural_55.jpg, C:\LZ\natural\natural_67.jpg,     a
C:\LZ\natural\natural_91.jpg, C:\LZ\natural\natural_168.jpg, C:\LZ\natural\natural_9.jpg, C:\LZ\natural\natural_221.jpg,     m
C:\LZ\final_scrambled\scrambled_109.jpg, C:\LZ\final_scrambled\scrambled_147.jpg, C:\LZ\final_scrambled\scrambled_236.jpg, C:\LZ\final_scrambled\scrambled_218.jpg,     m
C:\LZ\noise\noise_199.jpg, C:\LZ\noise\noise_217.jpg, C:\LZ\noise\noise_193.jpg, C:\LZ\noise\noise_132.jpg,     k
C:\LZ\natural\natural_143.jpg, C:\LZ\natural\natural_196.jpg, C:\LZ\natural\natural_231.jpg, C:\LZ\natural\natural_213.jpg,     z
C:\LZ\natural\natural_100.jpg, C:\LZ\natural\natural_183.jpg, C:\LZ\natural\natural_47.jpg, C:\LZ\natural\natural_69.jpg,     z
C:\LZ\noise\noise_91.jpg, C:\LZ\noise\noise_5.jpg, C:\LZ\noise\noise_216.jpg, C:\LZ\noise\noise_27.jpg,     k
C:\LZ\natural\natural_31.jpg, C:\LZ\natural\natural_15.jpg, C:\LZ\natural\natural_195.jpg, C:\LZ\natural\natural_212.jpg,     k
