imageone,imagetwo,imagethree,imagefour,frequency,imageTL,imageBL,imageTR,imageBR,correct_answer
LZ_scrambled\scrambled_130.jpg, LZ_scrambled\scrambled_85.jpg, LZ_scrambled\scrambled_124.jpg, LZ_scrambled\scrambled_216.jpg,     3, LZ_scrambled\scrambled_130.jpg, LZ_scrambled\scrambled_158.jpg, LZ_scrambled\scrambled_102.jpg, LZ_scrambled\scrambled_179.jpg,     a
LZ_noise\scrambled_120.jpg, LZ_noise\scrambled_48.jpg, LZ_noise\scrambled_134.jpg, LZ_noise\scrambled_60.jpg,     1, LZ_noise\scrambled_187.jpg, LZ_noise\scrambled_137.jpg, LZ_noise\scrambled_134.jpg, LZ_noise\scrambled_44.jpg,     k
LZ_scrambled\scrambled_79.jpg, LZ_scrambled\scrambled_231.jpg, LZ_scrambled\scrambled_236.jpg, LZ_scrambled\scrambled_93.jpg,     1, LZ_scrambled\scrambled_12.jpg, LZ_scrambled\scrambled_129.jpg, LZ_scrambled\scrambled_182.jpg, LZ_scrambled\scrambled_93.jpg,     m
LZ_noise\scrambled_222.jpg, LZ_noise\scrambled_19.jpg, LZ_noise\scrambled_35.jpg, LZ_noise\scrambled_87.jpg,     1, LZ_noise\scrambled_12.jpg, LZ_noise\scrambled_148.jpg, LZ_noise\scrambled_177.jpg, LZ_noise\scrambled_87.jpg,     m
LZ_scrambled\scrambled_75.jpg, LZ_scrambled\scrambled_190.jpg, LZ_scrambled\scrambled_133.jpg, LZ_scrambled\scrambled_228.jpg,     2, LZ_scrambled\scrambled_67.jpg, LZ_scrambled\scrambled_180.jpg, LZ_scrambled\scrambled_17.jpg, LZ_scrambled\scrambled_228.jpg,     m
LZ_noise\scrambled_55.jpg, LZ_noise\scrambled_28.jpg, LZ_noise\scrambled_6.jpg, LZ_noise\scrambled_93.jpg,     3, LZ_noise\scrambled_55.jpg, LZ_noise\scrambled_216.jpg, LZ_noise\scrambled_184.jpg, LZ_noise\scrambled_186.jpg,     a
LZ_noise\scrambled_7.jpg, LZ_noise\scrambled_53.jpg, LZ_noise\scrambled_146.jpg, LZ_noise\scrambled_106.jpg,     1, LZ_noise\scrambled_201.jpg, LZ_noise\scrambled_53.jpg, LZ_noise\scrambled_177.jpg, LZ_noise\scrambled_41.jpg,     z
LZ_natural\LZ_natural_238.jpg, LZ_natural\LZ_natural_68.jpg, LZ_natural\LZ_natural_64.jpg, LZ_natural\LZ_natural_77.jpg,     1, LZ_natural\LZ_natural_24.jpg, LZ_natural\LZ_natural_130.jpg, LZ_natural\LZ_natural_64.jpg, LZ_natural\LZ_natural_95.jpg,     k
LZ_noise\scrambled_175.jpg, LZ_noise\scrambled_233.jpg, LZ_noise\scrambled_232.jpg, LZ_noise\scrambled_190.jpg,     1, LZ_noise\scrambled_175.jpg, LZ_noise\scrambled_8.jpg, LZ_noise\scrambled_174.jpg, LZ_noise\scrambled_214.jpg,     a
LZ_scrambled\scrambled_83.jpg, LZ_scrambled\scrambled_166.jpg, LZ_scrambled\scrambled_161.jpg, LZ_scrambled\scrambled_96.jpg,     4, LZ_scrambled\scrambled_83.jpg, LZ_scrambled\scrambled_218.jpg, LZ_scrambled\scrambled_3.jpg, LZ_scrambled\scrambled_85.jpg,     a
LZ_scrambled\scrambled_5.jpg, LZ_scrambled\scrambled_135.jpg, LZ_scrambled\scrambled_76.jpg, LZ_scrambled\scrambled_77.jpg,     1, LZ_scrambled\scrambled_5.jpg, LZ_scrambled\scrambled_199.jpg, LZ_scrambled\scrambled_82.jpg, LZ_scrambled\scrambled_63.jpg,     a
LZ_scrambled\scrambled_176.jpg, LZ_scrambled\scrambled_37.jpg, LZ_scrambled\scrambled_199.jpg, LZ_scrambled\scrambled_9.jpg,     2, LZ_scrambled\scrambled_161.jpg, LZ_scrambled\scrambled_183.jpg, LZ_scrambled\scrambled_199.jpg, LZ_scrambled\scrambled_32.jpg,     k
LZ_scrambled\scrambled_110.jpg, LZ_scrambled\scrambled_80.jpg, LZ_scrambled\scrambled_127.jpg, LZ_scrambled\scrambled_105.jpg,     3, LZ_scrambled\scrambled_172.jpg, LZ_scrambled\scrambled_80.jpg, LZ_scrambled\scrambled_144.jpg, LZ_scrambled\scrambled_202.jpg,     z
LZ_noise\scrambled_22.jpg, LZ_noise\scrambled_196.jpg, LZ_noise\scrambled_230.jpg, LZ_noise\scrambled_4.jpg,     4, LZ_noise\scrambled_19.jpg, LZ_noise\scrambled_134.jpg, LZ_noise\scrambled_230.jpg, LZ_noise\scrambled_132.jpg,     k
LZ_noise\scrambled_152.jpg, LZ_noise\scrambled_86.jpg, LZ_noise\scrambled_67.jpg, LZ_noise\scrambled_101.jpg,     4, LZ_noise\scrambled_114.jpg, LZ_noise\scrambled_66.jpg, LZ_noise\scrambled_67.jpg, LZ_noise\scrambled_210.jpg,     k
LZ_scrambled\scrambled_144.jpg, LZ_scrambled\scrambled_132.jpg, LZ_scrambled\scrambled_237.jpg, LZ_scrambled\scrambled_13.jpg,     3, LZ_scrambled\scrambled_5.jpg, LZ_scrambled\scrambled_2.jpg, LZ_scrambled\scrambled_146.jpg, LZ_scrambled\scrambled_13.jpg,     m
LZ_noise\scrambled_217.jpg, LZ_noise\scrambled_69.jpg, LZ_noise\scrambled_228.jpg, LZ_noise\scrambled_32.jpg,     3, LZ_noise\scrambled_6.jpg, LZ_noise\scrambled_46.jpg, LZ_noise\scrambled_228.jpg, LZ_noise\scrambled_139.jpg,     k
LZ_noise\scrambled_36.jpg, LZ_noise\scrambled_68.jpg, LZ_noise\scrambled_70.jpg, LZ_noise\scrambled_174.jpg,     1, LZ_noise\scrambled_36.jpg, LZ_noise\scrambled_87.jpg, LZ_noise\scrambled_148.jpg, LZ_noise\scrambled_48.jpg,     a
LZ_scrambled\scrambled_49.jpg, LZ_scrambled\scrambled_17.jpg, LZ_scrambled\scrambled_119.jpg, LZ_scrambled\scrambled_46.jpg,     4, LZ_scrambled\scrambled_47.jpg, LZ_scrambled\scrambled_84.jpg, LZ_scrambled\scrambled_119.jpg, LZ_scrambled\scrambled_186.jpg,     k
LZ_natural\LZ_natural_85.jpg, LZ_natural\LZ_natural_235.jpg, LZ_natural\LZ_natural_165.jpg, LZ_natural\LZ_natural_233.jpg,     2, LZ_natural\LZ_natural_23.jpg, LZ_natural\LZ_natural_11.jpg, LZ_natural\LZ_natural_183.jpg, LZ_natural\LZ_natural_233.jpg,     m
LZ_scrambled\scrambled_103.jpg, LZ_scrambled\scrambled_69.jpg, LZ_scrambled\scrambled_238.jpg, LZ_scrambled\scrambled_48.jpg,     3, LZ_scrambled\scrambled_75.jpg, LZ_scrambled\scrambled_197.jpg, LZ_scrambled\scrambled_238.jpg, LZ_scrambled\scrambled_221.jpg,     k
LZ_natural\LZ_natural_180.jpg, LZ_natural\LZ_natural_82.jpg, LZ_natural\LZ_natural_195.jpg, LZ_natural\LZ_natural_187.jpg,     3, LZ_natural\LZ_natural_163.jpg, LZ_natural\LZ_natural_187.jpg, LZ_natural\LZ_natural_195.jpg, LZ_natural\LZ_natural_159.jpg,     k
LZ_scrambled\scrambled_84.jpg, LZ_scrambled\scrambled_183.jpg, LZ_scrambled\scrambled_70.jpg, LZ_scrambled\scrambled_102.jpg,     2, LZ_scrambled\scrambled_65.jpg, LZ_scrambled\scrambled_183.jpg, LZ_scrambled\scrambled_7.jpg, LZ_scrambled\scrambled_227.jpg,     z
LZ_noise\scrambled_144.jpg, LZ_noise\scrambled_119.jpg, LZ_noise\scrambled_30.jpg, LZ_noise\scrambled_103.jpg,     2, LZ_noise\scrambled_144.jpg, LZ_noise\scrambled_180.jpg, LZ_noise\scrambled_169.jpg, LZ_noise\scrambled_2.jpg,     a
LZ_natural\LZ_natural_237.jpg, LZ_natural\LZ_natural_71.jpg, LZ_natural\LZ_natural_16.jpg, LZ_natural\LZ_natural_152.jpg,     3, LZ_natural\LZ_natural_146.jpg, LZ_natural\LZ_natural_5.jpg, LZ_natural\LZ_natural_86.jpg, LZ_natural\LZ_natural_152.jpg,     m
LZ_noise\scrambled_98.jpg, LZ_noise\scrambled_46.jpg, LZ_noise\scrambled_73.jpg, LZ_noise\scrambled_227.jpg,     1, LZ_noise\scrambled_155.jpg, LZ_noise\scrambled_91.jpg, LZ_noise\scrambled_99.jpg, LZ_noise\scrambled_227.jpg,     m
LZ_natural\LZ_natural_186.jpg, LZ_natural\LZ_natural_137.jpg, LZ_natural\LZ_natural_41.jpg, LZ_natural\LZ_natural_1.jpg,     3, LZ_natural\LZ_natural_17.jpg, LZ_natural\LZ_natural_137.jpg, LZ_natural\LZ_natural_119.jpg, LZ_natural\LZ_natural_20.jpg,     z
LZ_scrambled\scrambled_134.jpg, LZ_scrambled\scrambled_239.jpg, LZ_scrambled\scrambled_126.jpg, LZ_scrambled\scrambled_24.jpg,     4, LZ_scrambled\scrambled_80.jpg, LZ_scrambled\scrambled_239.jpg, LZ_scrambled\scrambled_227.jpg, LZ_scrambled\scrambled_43.jpg,     z
LZ_scrambled\scrambled_106.jpg, LZ_scrambled\scrambled_41.jpg, LZ_scrambled\scrambled_213.jpg, LZ_scrambled\scrambled_197.jpg,     3, LZ_scrambled\scrambled_147.jpg, LZ_scrambled\scrambled_41.jpg, LZ_scrambled\scrambled_176.jpg, LZ_scrambled\scrambled_12.jpg,     z
LZ_noise\scrambled_193.jpg, LZ_noise\scrambled_139.jpg, LZ_noise\scrambled_212.jpg, LZ_noise\scrambled_23.jpg,     2, LZ_noise\scrambled_58.jpg, LZ_noise\scrambled_121.jpg, LZ_noise\scrambled_38.jpg, LZ_noise\scrambled_23.jpg,     m
LZ_noise\scrambled_172.jpg, LZ_noise\scrambled_188.jpg, LZ_noise\scrambled_168.jpg, LZ_noise\scrambled_71.jpg,     3, LZ_noise\scrambled_145.jpg, LZ_noise\scrambled_61.jpg, LZ_noise\scrambled_168.jpg, LZ_noise\scrambled_177.jpg,     k
LZ_scrambled\scrambled_165.jpg, LZ_scrambled\scrambled_138.jpg, LZ_scrambled\scrambled_162.jpg, LZ_scrambled\scrambled_153.jpg,     3, LZ_scrambled\scrambled_71.jpg, LZ_scrambled\scrambled_151.jpg, LZ_scrambled\scrambled_193.jpg, LZ_scrambled\scrambled_153.jpg,     m
LZ_noise\scrambled_203.jpg, LZ_noise\scrambled_52.jpg, LZ_noise\scrambled_180.jpg, LZ_noise\scrambled_65.jpg,     3, LZ_noise\scrambled_212.jpg, LZ_noise\scrambled_27.jpg, LZ_noise\scrambled_180.jpg, LZ_noise\scrambled_222.jpg,     k
LZ_scrambled\scrambled_27.jpg, LZ_scrambled\scrambled_26.jpg, LZ_scrambled\scrambled_51.jpg, LZ_scrambled\scrambled_115.jpg,     3, LZ_scrambled\scrambled_27.jpg, LZ_scrambled\scrambled_133.jpg, LZ_scrambled\scrambled_107.jpg, LZ_scrambled\scrambled_180.jpg,     a
LZ_natural\LZ_natural_56.jpg, LZ_natural\LZ_natural_66.jpg, LZ_natural\LZ_natural_79.jpg, LZ_natural\LZ_natural_98.jpg,     3, LZ_natural\LZ_natural_164.jpg, LZ_natural\LZ_natural_19.jpg, LZ_natural\LZ_natural_169.jpg, LZ_natural\LZ_natural_98.jpg,     m
LZ_noise\scrambled_129.jpg, LZ_noise\scrambled_56.jpg, LZ_noise\scrambled_66.jpg, LZ_noise\scrambled_210.jpg,     4, LZ_noise\scrambled_64.jpg, LZ_noise\scrambled_125.jpg, LZ_noise\scrambled_40.jpg, LZ_noise\scrambled_210.jpg,     m
LZ_natural\LZ_natural_100.jpg, LZ_natural\LZ_natural_201.jpg, LZ_natural\LZ_natural_28.jpg, LZ_natural\LZ_natural_35.jpg,     1, LZ_natural\LZ_natural_143.jpg, LZ_natural\LZ_natural_201.jpg, LZ_natural\LZ_natural_194.jpg, LZ_natural\LZ_natural_72.jpg,     z
LZ_natural\LZ_natural_103.jpg, LZ_natural\LZ_natural_10.jpg, LZ_natural\LZ_natural_97.jpg, LZ_natural\LZ_natural_17.jpg,     4, LZ_natural\LZ_natural_103.jpg, LZ_natural\LZ_natural_62.jpg, LZ_natural\LZ_natural_149.jpg, LZ_natural\LZ_natural_157.jpg,     a
LZ_natural\LZ_natural_239.jpg, LZ_natural\LZ_natural_135.jpg, LZ_natural\LZ_natural_106.jpg, LZ_natural\LZ_natural_189.jpg,     1, LZ_natural\LZ_natural_239.jpg, LZ_natural\LZ_natural_65.jpg, LZ_natural\LZ_natural_192.jpg, LZ_natural\LZ_natural_223.jpg,     a
LZ_scrambled\scrambled_219.jpg, LZ_scrambled\scrambled_171.jpg, LZ_scrambled\scrambled_82.jpg, LZ_scrambled\scrambled_19.jpg,     3, LZ_scrambled\scrambled_24.jpg, LZ_scrambled\scrambled_3.jpg, LZ_scrambled\scrambled_211.jpg, LZ_scrambled\scrambled_19.jpg,     m
LZ_noise\scrambled_99.jpg, LZ_noise\scrambled_151.jpg, LZ_noise\scrambled_82.jpg, LZ_noise\scrambled_236.jpg,     4, LZ_noise\scrambled_104.jpg, LZ_noise\scrambled_90.jpg, LZ_noise\scrambled_102.jpg, LZ_noise\scrambled_236.jpg,     m
LZ_noise\scrambled_113.jpg, LZ_noise\scrambled_165.jpg, LZ_noise\scrambled_235.jpg, LZ_noise\scrambled_121.jpg,     2, LZ_noise\scrambled_14.jpg, LZ_noise\scrambled_165.jpg, LZ_noise\scrambled_197.jpg, LZ_noise\scrambled_121.jpg,     z
LZ_scrambled\scrambled_168.jpg, LZ_scrambled\scrambled_158.jpg, LZ_scrambled\scrambled_92.jpg, LZ_scrambled\scrambled_90.jpg,     3, LZ_scrambled\scrambled_83.jpg, LZ_scrambled\scrambled_113.jpg, LZ_scrambled\scrambled_164.jpg, LZ_scrambled\scrambled_90.jpg,     m
LZ_noise\scrambled_237.jpg, LZ_noise\scrambled_189.jpg, LZ_noise\scrambled_137.jpg, LZ_noise\scrambled_226.jpg,     3, LZ_noise\scrambled_99.jpg, LZ_noise\scrambled_163.jpg, LZ_noise\scrambled_195.jpg, LZ_noise\scrambled_226.jpg,     m
LZ_natural\LZ_natural_18.jpg, LZ_natural\LZ_natural_232.jpg, LZ_natural\LZ_natural_33.jpg, LZ_natural\LZ_natural_80.jpg,     1, LZ_natural\LZ_natural_106.jpg, LZ_natural\LZ_natural_97.jpg, LZ_natural\LZ_natural_33.jpg, LZ_natural\LZ_natural_54.jpg,     k
LZ_natural\LZ_natural_112.jpg, LZ_natural\LZ_natural_57.jpg, LZ_natural\LZ_natural_34.jpg, LZ_natural\LZ_natural_43.jpg,     2, LZ_natural\LZ_natural_148.jpg, LZ_natural\LZ_natural_100.jpg, LZ_natural\LZ_natural_60.jpg, LZ_natural\LZ_natural_43.jpg,     m
LZ_noise\scrambled_59.jpg, LZ_noise\scrambled_182.jpg, LZ_noise\scrambled_89.jpg, LZ_noise\scrambled_57.jpg,     3, LZ_noise\scrambled_215.jpg, LZ_noise\scrambled_196.jpg, LZ_noise\scrambled_122.jpg, LZ_noise\scrambled_57.jpg,     m
LZ_natural\LZ_natural_199.jpg, LZ_natural\LZ_natural_202.jpg, LZ_natural\LZ_natural_129.jpg, LZ_natural\LZ_natural_48.jpg,     3, LZ_natural\LZ_natural_199.jpg, LZ_natural\LZ_natural_231.jpg, LZ_natural\LZ_natural_23.jpg, LZ_natural\LZ_natural_8.jpg,     a
LZ_scrambled\scrambled_186.jpg, LZ_scrambled\scrambled_191.jpg, LZ_scrambled\scrambled_18.jpg, LZ_scrambled\scrambled_38.jpg,     4, LZ_scrambled\scrambled_38.jpg, LZ_scrambled\scrambled_191.jpg, LZ_scrambled\scrambled_184.jpg, LZ_scrambled\scrambled_179.jpg,     z
LZ_scrambled\scrambled_97.jpg, LZ_scrambled\scrambled_3.jpg, LZ_scrambled\scrambled_227.jpg, LZ_scrambled\scrambled_10.jpg,     1, LZ_scrambled\scrambled_177.jpg, LZ_scrambled\scrambled_54.jpg, LZ_scrambled\scrambled_227.jpg, LZ_scrambled\scrambled_151.jpg,     k
LZ_natural\LZ_natural_223.jpg, LZ_natural\LZ_natural_94.jpg, LZ_natural\LZ_natural_163.jpg, LZ_natural\LZ_natural_149.jpg,     3, LZ_natural\LZ_natural_223.jpg, LZ_natural\LZ_natural_8.jpg, LZ_natural\LZ_natural_126.jpg, LZ_natural\LZ_natural_191.jpg,     a
LZ_noise\scrambled_140.jpg, LZ_noise\scrambled_124.jpg, LZ_noise\scrambled_166.jpg, LZ_noise\scrambled_51.jpg,     1, LZ_noise\scrambled_135.jpg, LZ_noise\scrambled_172.jpg, LZ_noise\scrambled_166.jpg, LZ_noise\scrambled_64.jpg,     k
LZ_natural\LZ_natural_221.jpg, LZ_natural\LZ_natural_240.jpg, LZ_natural\LZ_natural_23.jpg, LZ_natural\LZ_natural_86.jpg,     4, LZ_natural\LZ_natural_221.jpg, LZ_natural\LZ_natural_68.jpg, LZ_natural\LZ_natural_199.jpg, LZ_natural\LZ_natural_145.jpg,     a
LZ_scrambled\scrambled_64.jpg, LZ_scrambled\scrambled_2.jpg, LZ_scrambled\scrambled_101.jpg, LZ_scrambled\scrambled_146.jpg,     4, LZ_scrambled\scrambled_64.jpg, LZ_scrambled\scrambled_227.jpg, LZ_scrambled\scrambled_67.jpg, LZ_scrambled\scrambled_78.jpg,     a
LZ_natural\LZ_natural_185.jpg, LZ_natural\LZ_natural_218.jpg, LZ_natural\LZ_natural_20.jpg, LZ_natural\LZ_natural_220.jpg,     3, LZ_natural\LZ_natural_219.jpg, LZ_natural\LZ_natural_198.jpg, LZ_natural\LZ_natural_15.jpg, LZ_natural\LZ_natural_220.jpg,     m
LZ_scrambled\scrambled_164.jpg, LZ_scrambled\scrambled_120.jpg, LZ_scrambled\scrambled_28.jpg, LZ_scrambled\scrambled_207.jpg,     3, LZ_scrambled\scrambled_25.jpg, LZ_scrambled\scrambled_120.jpg, LZ_scrambled\scrambled_140.jpg, LZ_scrambled\scrambled_149.jpg,     z
LZ_scrambled\scrambled_58.jpg, LZ_scrambled\scrambled_189.jpg, LZ_scrambled\scrambled_59.jpg, LZ_scrambled\scrambled_201.jpg,     2, LZ_scrambled\scrambled_69.jpg, LZ_scrambled\scrambled_87.jpg, LZ_scrambled\scrambled_29.jpg, LZ_scrambled\scrambled_201.jpg,     m
LZ_scrambled\scrambled_109.jpg, LZ_scrambled\scrambled_223.jpg, LZ_scrambled\scrambled_29.jpg, LZ_scrambled\scrambled_204.jpg,     3, LZ_scrambled\scrambled_222.jpg, LZ_scrambled\scrambled_211.jpg, LZ_scrambled\scrambled_21.jpg, LZ_scrambled\scrambled_204.jpg,     m
LZ_scrambled\scrambled_182.jpg, LZ_scrambled\scrambled_45.jpg, LZ_scrambled\scrambled_16.jpg, LZ_scrambled\scrambled_220.jpg,     1, LZ_scrambled\scrambled_221.jpg, LZ_scrambled\scrambled_45.jpg, LZ_scrambled\scrambled_97.jpg, LZ_scrambled\scrambled_96.jpg,     z
LZ_noise\scrambled_154.jpg, LZ_noise\scrambled_114.jpg, LZ_noise\scrambled_185.jpg, LZ_noise\scrambled_45.jpg,     1, LZ_noise\scrambled_154.jpg, LZ_noise\scrambled_5.jpg, LZ_noise\scrambled_59.jpg, LZ_noise\scrambled_198.jpg,     a
LZ_natural\LZ_natural_115.jpg, LZ_natural\LZ_natural_213.jpg, LZ_natural\LZ_natural_59.jpg, LZ_natural\LZ_natural_119.jpg,     3, LZ_natural\LZ_natural_81.jpg, LZ_natural\LZ_natural_186.jpg, LZ_natural\LZ_natural_137.jpg, LZ_natural\LZ_natural_119.jpg,     m
LZ_noise\scrambled_221.jpg, LZ_noise\scrambled_24.jpg, LZ_noise\scrambled_136.jpg, LZ_noise\scrambled_231.jpg,     4, LZ_noise\scrambled_221.jpg, LZ_noise\scrambled_88.jpg, LZ_noise\scrambled_4.jpg, LZ_noise\scrambled_128.jpg,     a
LZ_noise\scrambled_85.jpg, LZ_noise\scrambled_39.jpg, LZ_noise\scrambled_156.jpg, LZ_noise\scrambled_158.jpg,     4, LZ_noise\scrambled_142.jpg, LZ_noise\scrambled_239.jpg, LZ_noise\scrambled_156.jpg, LZ_noise\scrambled_174.jpg,     k
LZ_noise\scrambled_195.jpg, LZ_noise\scrambled_40.jpg, LZ_noise\scrambled_163.jpg, LZ_noise\scrambled_131.jpg,     4, LZ_noise\scrambled_158.jpg, LZ_noise\scrambled_167.jpg, LZ_noise\scrambled_163.jpg, LZ_noise\scrambled_232.jpg,     k
LZ_scrambled\scrambled_215.jpg, LZ_scrambled\scrambled_62.jpg, LZ_scrambled\scrambled_99.jpg, LZ_scrambled\scrambled_78.jpg,     3, LZ_scrambled\scrambled_219.jpg, LZ_scrambled\scrambled_27.jpg, LZ_scrambled\scrambled_104.jpg, LZ_scrambled\scrambled_78.jpg,     m
LZ_scrambled\scrambled_187.jpg, LZ_scrambled\scrambled_203.jpg, LZ_scrambled\scrambled_185.jpg, LZ_scrambled\scrambled_74.jpg,     1, LZ_scrambled\scrambled_70.jpg, LZ_scrambled\scrambled_218.jpg, LZ_scrambled\scrambled_185.jpg, LZ_scrambled\scrambled_229.jpg,     k
LZ_natural\LZ_natural_168.jpg, LZ_natural\LZ_natural_229.jpg, LZ_natural\LZ_natural_51.jpg, LZ_natural\LZ_natural_117.jpg,     1, LZ_natural\LZ_natural_168.jpg, LZ_natural\LZ_natural_79.jpg, LZ_natural\LZ_natural_40.jpg, LZ_natural\LZ_natural_165.jpg,     a
LZ_natural\LZ_natural_153.jpg, LZ_natural\LZ_natural_147.jpg, LZ_natural\LZ_natural_69.jpg, LZ_natural\LZ_natural_2.jpg,     4, LZ_natural\LZ_natural_216.jpg, LZ_natural\LZ_natural_147.jpg, LZ_natural\LZ_natural_148.jpg, LZ_natural\LZ_natural_143.jpg,     z
LZ_scrambled\scrambled_202.jpg, LZ_scrambled\scrambled_104.jpg, LZ_scrambled\scrambled_129.jpg, LZ_scrambled\scrambled_222.jpg,     2, LZ_scrambled\scrambled_33.jpg, LZ_scrambled\scrambled_75.jpg, LZ_scrambled\scrambled_63.jpg, LZ_scrambled\scrambled_222.jpg,     m
LZ_noise\scrambled_83.jpg, LZ_noise\scrambled_177.jpg, LZ_noise\scrambled_78.jpg, LZ_noise\scrambled_184.jpg,     4, LZ_noise\scrambled_213.jpg, LZ_noise\scrambled_230.jpg, LZ_noise\scrambled_133.jpg, LZ_noise\scrambled_184.jpg,     m
LZ_natural\LZ_natural_74.jpg, LZ_natural\LZ_natural_46.jpg, LZ_natural\LZ_natural_210.jpg, LZ_natural\LZ_natural_191.jpg,     4, LZ_natural\LZ_natural_222.jpg, LZ_natural\LZ_natural_46.jpg, LZ_natural\LZ_natural_196.jpg, LZ_natural\LZ_natural_84.jpg,     z
LZ_noise\scrambled_9.jpg, LZ_noise\scrambled_34.jpg, LZ_noise\scrambled_76.jpg, LZ_noise\scrambled_96.jpg,     1, LZ_noise\scrambled_9.jpg, LZ_noise\scrambled_218.jpg, LZ_noise\scrambled_37.jpg, LZ_noise\scrambled_16.jpg,     a
LZ_natural\LZ_natural_134.jpg, LZ_natural\LZ_natural_4.jpg, LZ_natural\LZ_natural_120.jpg, LZ_natural\LZ_natural_231.jpg,     1, LZ_natural\LZ_natural_91.jpg, LZ_natural\LZ_natural_217.jpg, LZ_natural\LZ_natural_120.jpg, LZ_natural\LZ_natural_122.jpg,     k
LZ_scrambled\scrambled_98.jpg, LZ_scrambled\scrambled_234.jpg, LZ_scrambled\scrambled_200.jpg, LZ_scrambled\scrambled_6.jpg,     3, LZ_scrambled\scrambled_75.jpg, LZ_scrambled\scrambled_234.jpg, LZ_scrambled\scrambled_232.jpg, LZ_scrambled\scrambled_14.jpg,     z
LZ_noise\scrambled_77.jpg, LZ_noise\scrambled_118.jpg, LZ_noise\scrambled_238.jpg, LZ_noise\scrambled_115.jpg,     2, LZ_noise\scrambled_147.jpg, LZ_noise\scrambled_8.jpg, LZ_noise\scrambled_238.jpg, LZ_noise\scrambled_109.jpg,     k
LZ_scrambled\scrambled_198.jpg, LZ_scrambled\scrambled_229.jpg, LZ_scrambled\scrambled_108.jpg, LZ_scrambled\scrambled_89.jpg,     3, LZ_scrambled\scrambled_171.jpg, LZ_scrambled\scrambled_229.jpg, LZ_scrambled\scrambled_3.jpg, LZ_scrambled\scrambled_233.jpg,     z
